"review_id","date","review","score"
2656,25-Feb-15,Hands down the best!,1
2649,3-Jan-15,"Amazing and I love,love,love.",1
5093,27-Jun-15,"THE best music app of all! I was a subscriber to a monthly music service for years. Then I found out about Spotify. I had several gigabytes of music files on my computer and in the cloud. When I found Spotify, I made the decisione to get rid of all that and save space on my hard drive.You don't actually BUY the music, so you can't burn CDs or make other copies, but you CAN have the app on all your devices, so the music goes with you wherever you want. I connect the Bluetooth on my phone to my car's sound system, so I can listen to what I want....and no commercials! You can create your own playlists and fill them with the actual music you want...not 'sounds like' the music you like And the best part is that you can make your playlists available offline, so you don't have to have an Internet connection to listen to your music.Another nifty feature of Spotify is the ability to view the lyrics of what you're listening to if you want. All the information about the artist is also available if you want to know more about the artists you're listening to.
 
 And for those people who are devoted to social media, Spotify also allows you to connect with friends and see what they are listening to and you can make your playlists public as well. I don't use those features, but they are available.
 
 This is the app I use more than any other on my devices. I just love it.",1
7439,20-Aug-16,Why can i only shuffle play spotify huh why cause u cheap bastards need money so u gonna nake people pay so they dont gotta shuffle play. PATHETIC.,0
759,10-Dec-15,Poopppppppppp,0
16,30-Jan-16,I love it so much,1
1525,10-Sep-15,It was awesome,1
2696,25-Nov-14,No words. The best I've ever tried!,1
1330,15-Oct-14,"This app is amazing if you are looking for a music downloader, i recommend this app.",1
3702,7-Aug-14,Awesome app.,1
7163,15-May-17,love,1
2584,8-Jan-15,best music streaming out there,1
1185,18-Jan-16,Good,1
3783,18-Jul-16,"We were motivated to update our online library when we got our Echo, because songs from our library are available on request with the device. Unfortunately, it appears that there is no way to upload data from an audio CD (from our physical home library). It may be that there is a way to do this, but we were unable to figure out how to do so. In iTunes, it is simply a matter of inserting an audio CD while the application is running. In addition, there is evidently a 250 song limit on the number of songs you can upload into the Spotify cloud database, unless you are willing to pay ten bucks a month to upgrade the service.",0
7263,1-Aug-17,Makes me happy,1
4062,14-Oct-16,"This shuts down my new Apple desktop, for some reason! It always has! And it probably always will...It's probably because you're trying to install malware on my system!!! And my system is like coughing like a 100 year old man, & passes out* Since it freezes FIRST, before shutting down. I noticed this after an update too...Hmmm...So YES, you read that right folks! They are currently embroiled in a malware scandal! So far it only effects desktop computers. So I don't use it on my computer anymore. Only on my smartphone which is lagged so bad, that any playlist (online or off) has ever loaded up. It tries to load up the last song I played, & always gives me an error message. Instead I just hit ""Home"" before the load completes that gives me an error message. By interrupting it & selecting home, I can get to my playlist. Hate this drama. PS. Why are you taking away my favorite songs again?! Is it because you're also reported to NOT pay the artists' as much as their lawyers would want?! Yea, I read that about you recently as well!",0
4375,1-Nov-15,"This app is the worst music app in the history of apps,please give us free music and unlimited skips RIGHT ABOUT NOW!",0
5097,12-Aug-16,"I use Spotifyt all the time, and I have a favorite playlist on Spotify that I listen to each morning when I read the paper. Spotify doesn't have some of the bells and whistles of iTunes or Amazon Music; but the search feature is easy to use, and it's very easy to create and modify playlists. I especially like the fact that it plays through my Amazon Echo.",1
6733,14-Aug-17,Spotify is awesome,1
4112,2-Apr-17,Love this app! Such a great way to discover new music. I just wish there was an easy way to put parental controls for kids.,1
726,8-Aug-15,Very good ..now I can listen to my music.,1
2447,26-Dec-14,Just what I was looking for. Thanks!,1
6966,24-Mar-16,"Stops after two or three songs, even when entire playlist is downloaded. Uninstalled and reinstalled a couple times already, no luck. Love that I can create my own playlists. I subscribe to both Spotify and Pandora, one for playlists of specific songs I already know, the other when I want to explore stuff I haven't heard before.",0
2134,6-Aug-14,I love it. But I wish it was easier to shut off when you are done with it.,1
3692,1-Oct-16,Best place to listen to music and find new artists. Worth the download in my opinion I even traded in my other music apps for just this one.,1
3939,8-Jun-17,"Had this for my tv, getting it for my tablet again!",1
3090,29-Dec-14,Awesome so awesome,1
1309,19-Sep-15,Listen to ur style,1
4964,3-Jun-17,Love it!!!!! The music never stops and pauses. I'm using it on my kindle because its better than using it on my phone!!!!!,1
5934,29-May-17,I love spotify one of the better sites tovdown load music unfortunately for a fee__,0
4493,13-Feb-17,It's great. There's really not much to say beyond that.,1
3105,28-Feb-15,Awesome,1
1904,24-Feb-15,It's awesome I can listen to any song I want,1
6432,6-Sep-17,"I'm so pleased with this music app. If you truly love great, hard to find tracks, especially live recordings, Spotify is the best.",1
1524,27-May-15,I love this app so much it's awesome,1
5581,2-Nov-17,good,1
4326,5-Apr-17,The best I have ever listen to!!,1
3151,2-Mar-15,Cool!,1
3451,21-Sep-14,"Great, no complaints !",1
6915,12-Aug-16,"Promoting a premium membership in adds that could be used for sponsorships isn't very good marketing, otherwise no complaints.",0
464,27-Sep-15,Best music app ever every thing free,1
2468,30-Sep-14,"This app is great I love it
 10 out of 10
 :D",1
3873,6-Apr-17,"Pros -
 
 Lots of music
 Family account lets me play simultaneously from different devices
 
 Cons -
 
 The download feature is a joke, I regularly have issues with playing downloaded songs even though I am actually connected to internet. If it was really downloaded then it shouldn't have to ping spotify servers to play it...",0
3626,27-Aug-14,Amazing ________,1
1149,21-Jan-15,"Love it, I recommend it to all my friends that enjoy music on the go.",1
4240,2-May-16,Won't open. Force closes every time.,0
3349,2-Dec-14,Best app ever,1
529,11-Dec-14,I am able to listen to all of my favorite music and listen to brand new music. What a bonus!,1
5558,3-May-17,Love Spotify... Just need to upgrade to where I won't have commercials... Love that I can type in any title and so many different songs pop up.. Adore this app.. Definitely would recommend this app to someone..,1
5789,8-Jul-17,"Spotify is a very good place to go to and listen to just about anything your heart desires. The layout is easy to use, even for us older folks. Been listening to music long before a lot of you were even dreamed about. Many memories and good times from music. Keep it up Spotify ! You deserve all stars.",1
2101,4-Sep-14,Very nice selections. Lots of different types of music to choose from.,1
2307,2-Apr-15,I love listening to this,1
